Code,Name,ROE,PER
068240,다원시스,1.83,26.19
033500,동성화인텍,18.11,13.15
034950,한국기업평가,18.64,17.70
059090,미코,-25.04,-12.47
439090,마녀공장,15.59,24.24
252990,샘씨엔에스,-1.23,161.46
171090,선익시스템,-12.29,-31.05
095610,테스,0.52,47.45
455900,엔젤로보틱스,166.35,-32.65
107640,한중엔시에스,-83.21,-18.87
104830,원익머트리얼즈,3.10,26.26
205470,휴마시스,-17.48,-8.09
160190,하이젠알앤엠,5.98,227.17
294090,이오플로우,-82.07,-6.09
043150,바텍,13.83,6.81
013030,하이록코리아,12.13,7.34
323990,박셀바이오,-19.24,-32.10
089010,켐트로닉스,-5.73,55.61
060280,큐렉소,-5.33,-36.20
029960,코엔텍,19.79,11.65
084650,랩지노믹스,-2.14,-20.12
095500,미래나노텍,-0.54,37.13
394280,오픈엣지테크놀로지,-56.25,-24.70
094170,동운아나텍,64.09,13.34
360070,탑머티리얼,13.95,26.04
243070,휴온스,16.61,7.70
297890,HB솔루션,40.57,9.48
138580,비즈니스온,23.42,22.73
950130,엑세스바이오,-0.53,-8.52
089980,상아프론테크,6.35,31.90
319400,현대무벡스,2.67,26.56
053610,프로텍,7.43,20.45
230360,에코마케팅,19.39,9.11
038500,삼표시멘트,4.86,8.26
122640,예스티,-36.27,-11.71
445090,에이직랜드,7.21,73.80
094360,칩스앤미디어,-47.49,-12.26
099430,바이오플러스,21.22,16.57
031330,에스에이엠티,8.92,7.96
093320,케이아이엔엑스,15.77,15.69
110990,디아이티,7.24,19.14
045100,한양이엔지,15.39,4.08
166480,코아스템켐온,-60.69,-12.71
084110,휴온스글로벌,7.95,7.73
041830,인바디,15.83,9.36
119610,인터로조,7.52,28.59
032820,우리기술,5.06,48.14
058820,CMG제약,N/A,39.42
083450,GST,16.97,9.15
051360,토비스,6.26,15.57
378340,필에너지,-8.42,-42.86
005160,동국산업,-1.30,497.50
095700,제넥신,-23.50,-5.91
035890,서희건설,17.85,1.98
243840,신흥에스이씨,9.58,14.38
337930,브랜드엑스코퍼레이션,13.46,28.52
218410,RFHIC,6.24,9.21
025770,한국정보통신,11.67,10.42
388720,유일로보틱스,-17.54,-12.21
114190,강원에너지,12.33,70.53
036620,감성코퍼레이션,37.53,12.22
267980,매일유업,10.62,5.25
151860,KG에코솔루션,7.53,3.43
114810,한솔아이원스,1.41,15.53
060250,NHN KCP,16.73,7.68
126700,하이비젼시스템,21.08,5.20
347850,디앤디파마텍,14.03,67.02
136480,하림,4.29,-10.54
265520,AP시스템,20.30,5.03
018310,삼목에스폼,23.35,2.14
216080,제테마,N/A,14.65
050890,쏠리드,16.30,6.49
060150,인선이엔티,0.50,-82.34
304360,에스바이오메딕스,-477.19,-39.18
041020,폴라리스오피스,33.22,-57.57
044490,태웅,6.87,7.68
003800,에이스침대,8.11,4.58
041960,코미팜,-6.80,83.67
200710,에이디테크놀로지,-10.23,-25.00
174900,앱클론,-40.00,-17.08
100790,미래에셋벤처투자,7.66,8.33
416180,신성에스티,13.64,25.76
036220,오상헬스케어,47.25,-79.35
094480,갤럭시아머니트리,-0.04,-421.76
092040,아미코젠,-15.14,-7.66
453450,그리드위즈,9.40,53.48
033790,스카이문스테크놀로지,-8.62,-150.00
035600,KG이니시스,17.66,3.51
051370,인터플렉스,13.06,7.11
101730,위메이드맥스,8.00,333.60
389020,자람테크놀로지,-4.67,242.12
078020,LS증권,3.09,12.17
461030,아이엠비디엑스,91.33,-21.41
060720,KH바텍,12.92,11.92
102940,코오롱생명과학,-20.12,-8.20
950140,잉글우드랩,19.95,12.02
148150,세경하이테크,18.72,9.30
027360,아주IB투자,6.62,21.63
054950,제이브이엠,15.55,9.79
023410,유진기업,7.00,5.31
441270,파인엠텍,8.02,20.92
217270,넵튠,-4.17,84.71
211050,인카금융서비스,34.68,7.83
299900,위지윅스튜디오,25.30,7.99
089970,브이엠,-5.81,-23.74
100120,뷰웍스,6.93,15.09
078150,HB테크놀러지,30.65,4.48
317690,퀀타매트릭스,-74.33,-12.97
348340,뉴로메카,-55.36,-12.23
417010,나노팀,N/A,148.65
033640,네패스,-49.65,-3.19
357550,석경에이티,10.50,68.25
123860,아나패스,5.85,49.65
307750,국전약품,5.13,188.21
118990,모트렉스,16.88,8.21
077360,덕산하이메탈,1.94,29.18
052020,에스티큐브,-56.63,-10.53
039840,디오,1.84,-4.76
121800,비덴트,-2.88,25.54
263720,디앤씨미디어,5.20,47.54
299030,하나기술,-4.11,-38.97
425040,티이엠씨,16.43,13.41
425420,티에프이,16.86,23.59
108230,톱텍,16.56,2.91
108490,로보티즈,-1.51,-72.28
255220,SG,-47.71,-4.10
102120,어보브반도체,-11.10,-33.88
144960,뉴파워프라즈마,8.16,12.64
083650,비에이치아이,12.23,18.66
950170,JTC,26.45,7.57
064090,인크레더블버즈,-34.95,22.92
900290,GRT,7.93,3.10
268600,셀리버리,472.60,-12.10
086890,이수앱지스,5.10,-28.87
096040,이트론,-35.53,-9.03
150840,인트로메딕,-60.18,-34.82
078350,한양디지텍,9.91,14.53
082850,우리바이오,8.23,14.97
214680,디알텍,-3.10,-24.81
024850,HLB이노베이션,-1.32,-372.78
056080,유진로봇,-12.48,-54.75
126600,BGF에코머티리얼즈,-3.87,-25.91
036200,유니셈,8.81,13.37
179290,엠아이텍,14.50,14.71
437730,삼현,21.42,20.71
235980,메드팩토,-68.44,-6.31
024060,흥구석유,1.42,285.54
013120,동원개발,4.17,5.34
290550,디케이티,3.75,15.74
090360,로보스타,0.77,118.12
412540,제일엠앤에스,-11.17,N/A
126340,비나텍,3.16,85.75
270660,에브리봇,4.42,128.68
298830,슈어소프트테크,7.32,17.59
083930,아바코,2.41,18.12
064260,다날,-9.10,-10.49
054450,텔레칩스,30.12,4.85
208340,파멥신,-68.87,-6.97
371950,풍원정밀,-31.78,-9.77
030530,원익홀딩스,-3.01,-3.97
214430,아이쓰리시스템,14.91,17.01
443670,에스피소프트,14.66,49.61
017890,한국알콜,2.16,19.42
047310,파워로직스,9.17,25.59
032620,유비케어,-1.54,-78.48
278650,HLB바이오스텝,-0.19,-75.43
034810,해성산업,-3.88,-8.39
048530,인트론바이오,-9.56,-26.91
043370,피에이치에이,8.82,3.59
086390,유니테스트,4.66,"-2,700.00"
051500,CJ프레시웨이,18.24,4.50
061970,LB세미콘,-5.82,-19.33
048870,시너지이노베이션,1.45,13.63
086980,쇼박스,-25.24,-20.37
254490,미래반도체,7.53,32.82
389260,대명에너지,5.39,28.73
204620,글로벌텍스프리,-10.08,-17.90
052400,코나아이,18.18,8.19
080160,모두투어,16.28,17.79
270520,지오릿에너지,N/A,-12.66
322510,제이엘케이,-51.67,-22.84
057880,푸른소나무,-178.72,-4.20
109610,에스와이,-5.17,-18.33
226950,올릭스,-33.00,-10.82
011040,경동제약,-8.53,-11.28
032300,한국파마,0.13,70.91
064290,인텍플러스,-17.54,-23.56
078160,메디포스트,2.38,35.93
014940,오리엔탈정공,10.38,19.58
083310,엘오티베큠,22.87,4.73
143240,사람인,10.91,11.16
064800,포니링크,-6.63,-6.04
